,topic_id,media_name,title,url,public_time
10,2,自由影音,國民黨拒邀報告覆議案 卓榮泰親上火線說明（翻攝自行政院YT）,https://news.google.com/read/CBMihgFBVV95cUxPMU9MWlZlWGFzNmloNmJQMHlNbmlpS0pXQ0NwaTBOSG9PTWdvLXdrZ2M3aEszX3c3UFdIX0k2NlM1b1FHN0NmTHFGTG56UWVrWXA2X1VGUXc5Z2JYb2FyQjBjX2E4Zll4dURiLWVHVlFUaHUxcUJobGlNQW1qTUd2R1NPV1Bidw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,2025-01-09T08:05:00Z
11,2,聯合新聞網,覆議案若邀越俎代庖的卓揆報告 王鴻薇：會阻礙總預算審查,https://news.google.com/read/CBMiUEFVX3lxTE8xTmZSdUtjeUphWW90YlFEU2ZpbVRMZkstX0hocFB0X0c0MVlYaWhVczhwQVY3eGFqSFJFNC1WanQ5MzJfN0Z2X3pfX0pfVDdT?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,2025-01-09T06:03:04Z
12,3,TVBS,林秉文潛逃出境！疑赴日投靠吳佩慈「賭王未婚夫」紀曉波,https://news.google.com/read/CBMiT0FVX3lxTFA5aVJYR2NabXk1VUYyODIzYURFRmRVTGtNSURFdmY2ejJrQURmN3VxaGZlTm16YWpNVnRyU21ueEpZZUVYRTFUQmhFS2Q4aEk?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,2025-01-09T01:41:00Z
13,3,公視新聞,林秉文潛逃出境公開發文引議 朝野批傷害司法地院發布通緝 ｜ 公視新聞網 PNN,https://news.google.com/read/CBMiT0FVX3lxTE54NnRBc0tJaWFBUVdZeEZFTF9SU3U5Z1h4UlJ0Q2puU1cyaXhGbVByaFQ0eHh0b1ZTN3h6X1RNQmNTTHZsNXhqa3d3Wm9EN1nSAVRBVV95cUxPYm8wV2t6Z2diWnRoMWxwLVpINDJUY3dyVGh5cWtUc0lpdlJRbzk3NGhlWV95MWZZMFdJZE5ZbzZfZS03V00xWjRGV1VZMXNLbEp3R2I?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,2025-01-07T10:24:19Z
14,3,TVBS,批鄭銘謙對林秉文太軟 徐巧芯：被通緝犯騎頭上,https://news.google.com/read/CBMiU0FVX3lxTE1BZm9qTFNzT0Fvb29DS2ppVUQxQVpySW1mYlBpVGdkWkE3a0VPaGx1Q1pxbE5lVlhvRkN0MXpkWnlCbDFHMDRQeU5XMzk2RWFTNTJz?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,2025-01-09T10:27:00Z
15,3,Yahoo奇摩新聞,林楚茵強調不認識林秉文 但認識郭正亮「背骨仔蹭通告」,https://news.google.com/read/CBMi6gJBVV95cUxPMm92RW1TRldnR3R2b1lrTTROM0dYQjQzRWF2OWdHd3BzdXN2MFBlY3FMd3ZBaGlNMmRBZUY4YXBZOUFneFR3MTdpX3Y4SDZsS0FUeG9HdV9WQmVzZndfSFIzY1hiQWxGLVdxRG9jOXF0YUd4a2FtdjJZZ25KWFhhSmxKZHB2NkV4VnNmWlpwMzFDcndzY0JUakk4SnVlUUg4aUp6UDB2UjJDS3Nnel92aXNfQmE2cllLMUh2U3ZRd3RZT0RTRVdxdDlOQlFHNm9TOTZXQkdUbHFjYTA0QU5BTElEampJWnBkZnFBdGY1UEY2QTlqRDNuUWJ2TEkyTUFVLXN1cXc5VEJsR0c4ZDB2ODJTcGtUdElrdnFVdFE3ZVp3eERhY2kzeXg3czQwSUlZQ09BUHMtRlZLOHh4TlcyVzlSMkE0Wjd4UkRrWnhLVVFOc050Q2pDM3Y2UFRWU2d4UkVTcHItR0VrZw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,2025-01-09T07:43:00Z
16,4,自由時報,民眾黨中央委員政見出爐！僅5人提柯文哲 他提「反對改選黨主席」,https://news.google.com/read/CBMiakFVX3lxTE9DRGRsbjloWlF2MG8zdm5DYVZnSFJFUkdPcU52UTNYWC1iNVR2Y3VHZXMtNlAzSllyN0NOSTJrUllWY0JRUlNyaFhTYjBJbGFnSTV4VjhqNzFaVXJGZkVNZndDcHYtRUd5VEHSAW9BVV95cUxPWTk4WnZpOWN1VkZpVGpNX2E4MUN2b3MyYU9SRVd1aWxjYmJKZzhoWXItWnE1Tl9odHJyOEVycDlOMllvc2dnTFF5TnIwNEJQSTRjYkotSE53b2FSUU96UHpYTEFTRlE1TXpRbXU5aGM?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,2025-01-09T08:21:25Z
17,4,中央社即時新聞,參選民眾黨中央委員陳世軒：站出來共同承擔| 地方,https://news.google.com/read/CBMiX0FVX3lxTFBsRkgySk51dC02X0pCZk5XVVVTQUducnZnRE9HTDg1WG5lY2twaFROVVRldXJqWVlSWV9nc2N2NUZabzBBRFRJUXpTdG9pYUMzZnZBT0Nkb200dUlfaUJN?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,2025-01-09T07:11:00Z
18,4,Yahoo奇摩新聞,指柯文哲心腸軟遭利用「藉勢藉端」 黃國昌：我跟他不一樣「我比較衝」,https://news.google.com/read/CBMi4AJBVV95cUxOQUMtTjN6YVhYXzZFbFQ3WDZqWnVUcVBUQWFwVXdXbmlNUHZKczFFb25WS1RPcVNteTF0TVVCbGlHRXFzOXlkQ0ZCaks0aHFWUHJPQjJZNWpabFhCQnRadTJWdFNOeTJlbnNDR2t5dG1kS2lUY1V3SE9Kc0o2LUtaa3BFU0pGYm5TbmVOdFhYMy12N0xYaFlZUTZDZEdMLWVUQmxwcU55ZjF6ak8xZGtHQWItY3dIUFpmLW16WGVfaE9CZy1SZF9PZU1PRTctbmNqd1hKWXlsZ0xMeWRXRm9fbUtmNWVGUHhiZEVxY2VKdzJ2UDdjZzJtb3JIUWNYZnlJLUcwWjk1dXI3N3RFRW9iREdTUnlIYUtkUXVqY0NHNTlVNUE0dGJCYlJLWTgxb1JTMGVWMjFlTGJWNmZYZmQ1RnhjSUFBbWJtN01GNjJtSFNSNi1fV3BkcjdrS2hTblNr?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,2025-01-09T10:39:05Z
19,4,NOWnews 今日新聞,名家論壇》鈕則勳／阿「昌」哥不可能的任務？,https://news.google.com/read/CBMiTEFVX3lxTE5JbW5pLWZQbnIxb0d4Mk9RRTRZZy14OURwNXBVVjR6Q3dWRUJYM2FXSWVySGJ2VUdvSnBwLWVHQXNZaWpSc000ZzlMU0bSAVJBVV95cUxPdVJ0cW9tRUMtWUxGUnRSeTNmTkJYMnVDU1BVaVJBTDRURFRUeldPY1lhcXdwZThXdXF5Y0VkQUFtbnhSZkJBdzduSEl6ZUIzZXlR?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,2025-01-08T08:09:21Z
